Label,Accuracy,Sensitivity,Specificity,Precision,F1
cluster1,0.8489208633093526,0.8536585365853658,0.9591836734693877,0.8974358974358975,0.8749999999500312
cluster2,0.8489208633093526,0.875,0.9739130434782609,0.875,0.87499999995
cluster3,0.8489208633093526,0.7142857142857143,1,1,0.8333333332847221
cluster4,0.8489208633093526,0.8,0.9747899159663865,0.8421052631578947,0.8205128204628533
cluster5,0.8489208633093526,0.9,0.8888888888888888,0.7659574468085106,0.8275862068468753
Average,0.8489208633093526,0.828588850174216,0.9593551043605848,0.8760997214804606,0.8462864720988964
