Label,Accuracy,Sensitivity,Specificity,Precision,F1
cluster1,0.8227272727272728,0.8157894736842105,0.9395604395604396,0.7380952380952381,0.774999999950125
cluster2,0.8227272727272728,0.8823529411764706,0.9037037037037037,0.8522727272727273,0.8670520230714023
cluster3,0.8227272727272728,0.7142857142857143,0.9783783783783784,0.8620689655172413,0.7812499999504395
cluster4,0.8227272727272728,0.7692307692307693,0.979381443298969,0.8333333333333334,0.79999999995008
cluster5,0.8227272727272728,0.8333333333333334,0.9619565217391305,0.8108108108108109,0.8219178081691876
Average,0.8227272727272728,0.8029984463420996,0.9525960973361243,0.8193162150058702,0.8090439662182469
