,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,sum_dist_cluster,sum_dist_not_cluster,avg_dist_cluster,avg_dist_not_cluster,med_dist_cluster,med_dist_not_cluster,prop_diff,n1,n2
1,cluster1,1,14,130,0.789473684210526,0.285714285714286,8.94689956444443,-22.0108773622222,0.130620059444443,-0.15043286388889,0.235444725380117,-0.120921379808642,0.503759398496241,38,182
2,cluster1,2,14,1135,0.868421052631579,0.357142857142857,14.1511109888889,-27.6871777955556,0.264777903333334,-0.164083692222222,0.372397657602339,-0.151690799598766,0.511278195488722,38,182
3,cluster1,3,14,1493,0.921052631578947,0.395604395604396,12.0963920033333,-6.35530286777777,0.266029493888889,-0.0533803455555554,0.318326105350877,-0.0338758296419753,0.525448235974552,38,182
4,cluster1,4,14,3017,0.736842105263158,0.236263736263736,12.3275315877778,-49.9828862522222,0.149915936666667,-0.353065354999998,0.324408725994152,-0.275787142691358,0.500578368999422,38,182
5,cluster1,5,14,4479,0.815789473684211,0.236263736263736,7.07993595777778,-45.0231777955556,0.12133732,-0.231087674444445,0.186314104152047,-0.244919710888889,0.579525737420474,38,182
6,cluster1,6,14,5032,0.710526315789474,0.17032967032967,5.29627997555553,-46.5583481688889,0.139405462222226,-0.271280719444445,0.139375788830409,-0.254383654851852,0.540196645459803,38,182
7,cluster1,7,14,6522,0.657894736842105,0.137362637362637,6.48284878444444,-86.1490685655555,0.148123261666667,-0.417014704444444,0.170601283801169,-0.466283703191358,0.520532099479468,38,182
8,cluster1,8,14,7309,0.973684210526316,0.406593406593407,14.5757599722222,-12.6204456977778,0.340365168888888,-0.0590808477777791,0.383572630847953,-0.0639127651296297,0.567090803932909,38,182
9,cluster1,9,14,7400,0.921052631578947,0.417582417582418,15.5426454377778,-10.4255331011111,0.408325142777778,-0.0489904505555551,0.409016985204678,-0.0577982848148149,0.50347021399653,38,182
10,cluster1,10,14,8272,0.763157894736842,0.236263736263736,9.59516279888888,-38.0945931744445,0.240901253333331,-0.174868857777779,0.252504284181286,-0.206222744820988,0.526894158473106,38,182
11,cluster1,11,14,11529,0.763157894736842,0.236263736263736,7.82970680777779,-34.8330192288889,0.110637421666667,-0.206335382222225,0.206044915994152,-0.191218774327161,0.526894158473106,38,182
12,cluster1,12,14,12511,0.657894736842105,0.148351648351648,7.71015789555555,-56.5582132833333,0.100004933333333,-0.303485748333333,0.202898891988304,-0.309777334358025,0.509543088490457,38,182
13,cluster1,13,19,3358,0.763157894736842,0.21978021978022,2.52356570111111,-45.2179753022222,0.110923280555556,-0.193153943333334,0.0664096237134503,-0.245821621932099,0.543377674956622,38,182
14,cluster1,14,19,11912,0.684210526315789,0.175824175824176,0.211994681111108,-47.0249615755556,0.0429385716666668,-0.221255802222223,0.00557880739766073,-0.256388875333333,0.508386350491614,38,182
15,cluster1,15,21,2544,0.710526315789474,0.181318681318681,1.31485743111111,-53.4911281911111,0.076050450555556,-0.220705376111111,0.0346015113450293,-0.292015549506173,0.529207634470792,38,182
16,cluster1,16,21,3358,0.710526315789474,0.208791208791209,2.06623260222222,-42.4814725244444,0.0764147199999996,-0.195345411111111,0.0543745421637427,-0.231879305549383,0.501735106998265,38,182
17,cluster1,17,22,2544,0.763157894736842,0.252747252747253,3.14035199333333,-44.3720653833333,0.121789186111111,-0.150035710555555,0.0826408419298246,-0.240250852216049,0.510410641989589,38,182
18,cluster1,18,22,11912,0.736842105263158,0.230769230769231,1.58015614444444,-35.16939599,0.0728909661111111,-0.168834541111111,0.0415830564327485,-0.191594800419753,0.506072874493927,38,182
19,cluster1,19,24,2544,0.736842105263158,0.230769230769231,1.40124179,-49.5871201922222,0.0807306249999998,-0.19541884,0.0368747839473685,-0.268970228117284,0.506072874493927,38,182
20,cluster1,20,26,314,0.263157894736842,0.763736263736264,-3.18166399555556,32.4380427444445,-0.127894605555555,0.183277753888889,-0.083727999883041,0.178879290839506,-0.500578368999422,38,182
21,cluster1,21,26,10299,0.0789473684210526,0.626373626373626,-7.73224705555556,9.76786821777779,-0.214929327222223,0.0692933066666665,-0.203480185672515,0.053893998080247,-0.547426257952574,38,182
22,cluster1,22,32,2544,0.815789473684211,0.269230769230769,3.11184856555556,-44.5168066188889,0.0997729405555554,-0.158770323333333,0.0818907517251462,-0.241802188506173,0.546558704453441,38,182
23,cluster1,23,32,3358,0.789473684210526,0.28021978021978,3.86322373666667,-33.5071509522222,0.152664204444444,-0.142612896111111,0.10166378254386,-0.181169596925926,0.509253903990746,38,182
24,cluster1,24,36,2544,0.710526315789474,0.197802197802198,3.68782603,-48.2362176022222,0.12278366,-0.204886065555555,0.0970480534210527,-0.261997236265432,0.512724117987276,38,182
25,cluster1,25,36,3235,0.763157894736842,0.197802197802198,2.28957507430556,-38.8485621655556,0.0747762977777778,-0.147499603680556,0.0602519756396199,-0.208713849847222,0.565355696934644,38,182
26,cluster1,26,40,1026,0.684210526315789,0.164835164835165,1.75512760888889,-36.9837211444445,0.0738579627777773,-0.165815770000001,0.0461875686549707,-0.205069662,0.519375361480625,38,182
