Label,Accuracy,Sensitivity,Specificity,Precision,F1
cluster1,0.9214285714285714,0.926829268292683,0.9696969696969697,0.926829268292683,0.926829268242683
cluster2,0.9214285714285714,0.9166666666666666,0.9913793103448276,0.9565217391304348,0.93617021271598
cluster3,0.9214285714285714,0.7142857142857143,1,1,0.8333333332847221
cluster4,0.9214285714285714,0.9047619047619048,0.9831932773109243,0.9047619047619048,0.9047619047119048
cluster5,0.9214285714285714,1,0.95,0.8888888888888888,0.9411764705384082
Average,0.9214285714285714,0.8925087108013937,0.9788539114705443,0.9354003602147822,0.9084542378987396
