,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,dist_ij_cluster,dist_ij_not_cluster,prop_diff
1,cluster5,1,42,9830,0.075,0.737373737373737,-21.9013530055555,19.67553893,-0.662373737373737
2,cluster5,2,43,7333,0.075,0.777777777777778,-18.20582179,13.17100356,-0.702777777777778
3,cluster5,3,65,7333,0.1,0.808080808080808,-14.9949211340476,17.7188595728571,-0.708080808080808
4,cluster5,4,100,7333,0.025,0.707070707070707,-17.16034923,15.2967610044444,-0.682070707070707
5,cluster5,5,107,7333,0.1,0.787878787878788,-13.0833791644444,20.8888018466667,-0.687878787878788
6,cluster5,6,121,7333,0.125,0.808080808080808,-14.5867394522222,24.2706011277778,-0.683080808080808
7,cluster5,7,123,7520,0.125,0.797979797979798,-10.6617165555555,18.7172175922222,-0.672979797979798
8,cluster5,8,131,7520,0.1,0.787878787878788,-9.99677168111111,15.7641031955556,-0.687878787878788
9,cluster5,9,189,1991,0.05,0.757575757575758,-26.9869522955556,30.4983505955555,-0.707575757575758
10,cluster5,10,197,12508,0.1,0.777777777777778,-15.1855796188889,22.4311816522222,-0.677777777777778
11,cluster5,11,258,6559,0.1,0.868686868686869,-9.29386689222222,20.9669176666667,-0.768686868686869
12,cluster5,12,258,7333,0.075,0.818181818181818,-15.3236095966667,25.1751429633333,-0.743181818181818
13,cluster5,13,302,7333,0.175,0.838383838383838,-12.23146886,21.9001896366667,-0.663383838383838
14,cluster5,14,304,7333,0.05,0.737373737373737,-17.77026843,13.7069709144444,-0.687373737373737
15,cluster5,15,376,7885,0.125,0.787878787878788,-24.9410866388889,14.7072090166667,-0.662878787878788
16,cluster5,16,410,7333,0.05,0.747474747474748,-19.8477741422222,13.7466773122222,-0.697474747474747
17,cluster5,17,413,7520,0.225,0.929292929292929,-4.93881491666666,37.0236628955556,-0.704292929292929
18,cluster5,18,434,7520,0.125,0.808080808080808,-9.11430801333332,28.1952695788889,-0.683080808080808
19,cluster5,19,446,7885,0.05,0.737373737373737,-30.6151650888889,15.5586083811111,-0.687373737373737
20,cluster5,20,459,1386,0.05,0.717171717171717,-10.2567323039683,13.7171889003968,-0.667171717171717
21,cluster5,21,459,1947,0.025,0.797979797979798,-9.98581785555556,18.6128238255555,-0.772979797979798
22,cluster5,22,459,3861,0.075,0.737373737373737,-11.5938569433333,15.4809074333333,-0.662373737373737
23,cluster5,23,459,5838,0.1,0.818181818181818,-12.8144367511111,23.1627081855556,-0.718181818181818
24,cluster5,24,459,7333,0.075,0.787878787878788,-22.7818214944444,25.4860087711111,-0.712878787878788
25,cluster5,25,459,11725,0.125,0.787878787878788,-8.92101924444444,24.0191871766667,-0.662878787878788
26,cluster5,26,470,7520,0.225,0.898989898989899,-5.7177515011111,37.3527141577778,-0.673989898989899
27,cluster5,27,506,7520,0.1,0.848484848484849,-12.1512509166667,27.8033219477778,-0.748484848484849
28,cluster5,28,539,12508,0.15,0.848484848484849,-9.97344908222224,34.3911244522222,-0.698484848484848
29,cluster5,29,549,7333,0.125,0.787878787878788,-14.0674195766667,14.4786859288889,-0.662878787878788
30,cluster5,30,605,5992,0.15,0.848484848484849,-16.8106916744444,32.7324185144444,-0.698484848484848
31,cluster5,31,636,7333,0.05,0.727272727272727,-16.4063179588889,10.9097297666667,-0.677272727272727
32,cluster5,32,647,4442,0.875,0.161616161616162,5.02116440809524,-17.3960095585714,0.713383838383838
33,cluster5,33,651,7520,0.075,0.808080808080808,-14.05551558,29.0342200322222,-0.733080808080808
34,cluster5,34,669,9592,0.05,0.747474747474748,-19.7159731969048,28.5334659318254,-0.697474747474747
35,cluster5,35,815,6611,0.075,0.747474747474748,-18.3900159677778,13.3459789511111,-0.672474747474748
36,cluster5,36,828,7333,0.125,0.818181818181818,-16.2719930188889,16.2286290822222,-0.693181818181818
37,cluster5,37,910,7520,0.175,0.878787878787879,-7.09780432555554,37.1187520355556,-0.703787878787879
38,cluster5,38,951,7333,0.15,0.828282828282828,-12.3036920144444,26.4016787833333,-0.678282828282828
39,cluster5,39,968,2428,0.125,0.787878787878788,-17.0115419411111,27.8202135188889,-0.662878787878788
40,cluster5,40,1038,7333,0.125,0.858585858585859,-12.0276582033333,30.1342796411111,-0.733585858585859
41,cluster5,41,1043,7333,0.125,0.848484848484849,-16.0832824233333,20.4601272077778,-0.723484848484849
42,cluster5,42,1059,7520,0.125,0.797979797979798,-11.0524951644444,22.1540107766667,-0.672979797979798
43,cluster5,43,1081,7333,0.125,0.808080808080808,-15.0077148833333,17.1086923266667,-0.683080808080808
44,cluster5,44,1127,7333,0.1,0.808080808080808,-13.7990589988889,23.8033593811111,-0.708080808080808
45,cluster5,45,1195,7520,0.05,0.747474747474748,-11.0636934988889,18.2634992,-0.697474747474747
46,cluster5,46,1230,7885,0.125,0.808080808080808,-24.1582630377778,16.4744568411111,-0.683080808080808
47,cluster5,47,1272,5923,0.25,0.929292929292929,-6.24322775555555,24.0738978433333,-0.679292929292929
48,cluster5,48,1272,7333,0.15,0.828282828282828,-15.5873509144444,17.20578334,-0.678282828282828
49,cluster5,49,1291,11252,0.725,0.0505050505050505,6.34277702444446,-39.64729389,0.674494949494949
50,cluster5,50,1321,4634,0.225,0.919191919191919,-20.6273090311111,91.7494703466667,-0.694191919191919
51,cluster5,51,1336,7885,0.075,0.747474747474748,-30.85552199,6.36384896333333,-0.672474747474748
52,cluster5,52,1347,7885,0.125,0.797979797979798,-28.2225079277778,16.8975901855555,-0.672979797979798
53,cluster5,53,1359,2740,0.975,0.303030303030303,12.0893915866667,-8.10983398,0.671969696969697
54,cluster5,54,1530,5923,0.2,0.878787878787879,-8.45751387333334,20.6093300288889,-0.678787878787879
55,cluster5,55,1530,7333,0.075,0.777777777777778,-17.8016370322222,13.7412155255556,-0.702777777777778
56,cluster5,56,1555,7520,0.075,0.747474747474748,-13.69362001,14.8039780244444,-0.672474747474748
57,cluster5,57,1576,5992,0.15,0.828282828282828,-14.2809335311111,30.1294778366667,-0.678282828282828
58,cluster5,58,1614,7333,0.025,0.696969696969697,-22.2749686488889,6.36951003444445,-0.671969696969697
59,cluster5,59,1626,7707,0.225,0.888888888888889,-6.86657784555555,32.4487601577778,-0.663888888888889
60,cluster5,60,1635,7885,0.15,0.818181818181818,-24.5701717811111,15.2614663366667,-0.668181818181818
61,cluster5,61,1693,6559,0.025,0.696969696969697,-15.8423779077778,7.54016711555555,-0.671969696969697
62,cluster5,62,1693,7333,0,0.717171717171717,-21.8721206122222,11.7483924122222,-0.717171717171717
63,cluster5,63,1693,7885,0.125,0.868686868686869,-23.9903649388889,26.1659448033333,-0.743686868686869
64,cluster5,64,1707,7885,0.15,0.828282828282828,-24.5296383622222,15.1619547766667,-0.678282828282828
65,cluster5,65,1712,7333,0.125,0.787878787878788,-16.2816596666667,18.7203029833333,-0.662878787878788
66,cluster5,66,1712,7885,0.225,0.888888888888889,-18.3999039933333,33.1378553744444,-0.663888888888889
67,cluster5,67,1713,7885,0.1,0.767676767676768,-26.1034066344444,2.1996549611111,-0.667676767676768
68,cluster5,68,1748,7885,0.225,0.888888888888889,-15.4451588277778,29.5197631566667,-0.663888888888889
69,cluster5,69,1785,2554,0.875,0.202020202020202,7.63224078333333,-16.2976399833333,0.672979797979798
70,cluster5,70,1802,12502,0.15,0.818181818181818,-8.50839380666666,16.8552106488889,-0.668181818181818
71,cluster5,71,1822,7333,0.025,0.717171717171717,-19.1718194422222,10.2217257911111,-0.692171717171717
72,cluster5,72,1830,6935,0.1,0.767676767676768,-30.51460246,39.7249305233333,-0.667676767676768
73,cluster5,73,1871,8805,0.825,0.131313131313131,9.72742070555556,-10.8290040155556,0.693686868686869
74,cluster5,74,1885,7344,0.075,0.737373737373737,-11.5180957077778,17.9186910488889,-0.662373737373737
75,cluster5,75,1885,7520,0.05,0.747474747474748,-15.85768462,25.2271951444445,-0.697474747474747
76,cluster5,76,1885,12508,0.2,0.909090909090909,-8.29047983555559,54.1948200533334,-0.709090909090909
77,cluster5,77,1991,4053,0.75,0.0808080808080808,6.35723777666668,-57.7772448355556,0.669191919191919
78,cluster5,78,1991,5874,0.925,0.232323232323232,21.3042006188889,-37.0459411011111,0.692676767676768
79,cluster5,79,1991,6277,0.8,0.131313131313131,11.65508876,-40.7559535422222,0.668686868686869
80,cluster5,80,1991,6394,0.75,0.0707070707070707,8.27538813666668,-57.2991130888889,0.679292929292929
81,cluster5,81,1991,6431,0.875,0.181818181818182,14.5302094666667,-35.8713402866667,0.693181818181818
82,cluster5,82,1991,6433,0.925,0.242424242424242,19.0081080234127,-23.1469600910318,0.682575757575758
83,cluster5,83,1991,6483,0.825,0.111111111111111,10.1072516833333,-66.6388463688889,0.713888888888889
84,cluster5,84,1991,6983,0.95,0.272727272727273,18.7737765744445,-20.8914386177778,0.677272727272727
85,cluster5,85,1991,7241,0.825,0.151515151515152,13.3785251544445,-46.3229724544444,0.673484848484848
86,cluster5,86,1991,7538,0.825,0.161616161616162,13.0731152133333,-33.5834519066667,0.663383838383838
87,cluster5,87,1991,8261,0.925,0.262626262626263,18.1867163955556,-26.23712189,0.662373737373737
88,cluster5,88,1991,10280,0.825,0.131313131313131,12.1609960876984,-43.4291848803175,0.693686868686869
89,cluster5,89,1991,12331,0.9,0.222222222222222,18.8119674811111,-28.2692181722222,0.677777777777778
90,cluster5,90,2001,7520,0.15,0.838383838383838,-11.4280939233333,33.3735220355555,-0.688383838383838
91,cluster5,91,2077,7885,0.1,0.797979797979798,-27.8878187855555,12.4972074755555,-0.697979797979798
92,cluster5,92,2089,11983,0.125,0.828282828282828,-7.93043171666667,22.6446301288889,-0.703282828282828
93,cluster5,93,2106,8629,0.95,0.262626262626263,8.94130179333333,-27.9165074111111,0.687373737373737
94,cluster5,94,2125,3882,0.95,0.282828282828283,14.1608763088889,-8.87812608888889,0.667171717171717
95,cluster5,95,2129,11725,0.175,0.838383838383838,-5.59158618333333,19.8738643055556,-0.663383838383838
96,cluster5,96,2140,9592,0.075,0.737373737373737,-15.6246549066666,28.5576980866667,-0.662373737373737
97,cluster5,97,2166,7333,0.15,0.818181818181818,-15.1788651854762,20.8903949792857,-0.668181818181818
98,cluster5,98,2172,7520,0.075,0.757575757575758,-12.0287487522222,13.8019567077778,-0.682575757575758
99,cluster5,99,2254,2608,0.2,0.868686868686869,-7.25059227777777,44.1929242433333,-0.668686868686869
100,cluster5,100,2272,9826,0.1,0.767676767676768,-11.9750199366667,13.5132060633333,-0.667676767676768
101,cluster5,101,2325,7882,0.85,0.131313131313131,9.45450288333334,-25.2898425744444,0.718686868686869
102,cluster5,102,2366,7333,0.175,0.868686868686869,-10.7703660122222,27.7062831366667,-0.693686868686869
103,cluster5,103,2414,7333,0.05,0.767676767676768,-19.51814384,10.6058808044444,-0.717676767676768
104,cluster5,104,2428,4261,0.875,0.191919191919192,10.3982374711112,-36.5011331311111,0.683080808080808
105,cluster5,105,2428,7899,0.975,0.262626262626263,18.2624506433333,-34.0535665255555,0.712373737373737
106,cluster5,106,2472,5992,0.2,0.868686868686869,-12.9578467633333,41.3279874833333,-0.668686868686869
107,cluster5,107,2472,7520,0.125,0.797979797979798,-12.9023002211111,24.5417573177778,-0.672979797979798
108,cluster5,108,2548,7520,0.075,0.737373737373737,-11.3708986555556,11.9121519888889,-0.662373737373737
109,cluster5,109,2580,7333,0.15,0.838383838383838,-12.1066797177778,24.2637090488889,-0.688383838383838
110,cluster5,110,2590,7333,0.1,0.777777777777778,-14.7187011155555,16.3322253588889,-0.677777777777778
111,cluster5,111,2603,9615,0.125,0.787878787878788,-10.6547718722222,14.2185709911111,-0.662878787878788
112,cluster5,112,2603,12508,0.05,0.717171717171717,-21.2963302666667,14.1731740477778,-0.667171717171717
113,cluster5,113,2608,2701,0.925,0.262626262626263,16.2135767211111,-18.7136145488889,0.662373737373737
114,cluster5,114,2608,3508,0.9,0.232323232323232,16.8102735011111,-25.1803225633333,0.667676767676768
