,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,sum_dist_cluster,sum_dist_not_cluster,avg_dist_cluster,avg_dist_not_cluster,med_dist_cluster,med_dist_not_cluster,prop_diff
1,cluster5,1,42,9830,0.075,0.737373737373737,-21.9013530055555,19.67553893,-0.487339346666667,0.232975463333334,-0.547533825138889,0.198742817474747,-0.662373737373737
2,cluster5,2,43,7333,0.075,0.777777777777778,-18.20582179,13.17100356,-0.37921450888889,0.169744118888889,-0.45514554475,0.13304044,-0.702777777777778
3,cluster5,3,65,7333,0.1,0.808080808080808,-14.9949211340476,17.7188595728571,-0.309747842619048,0.209339430952381,-0.37487302835119,0.17897837952381,-0.708080808080808
4,cluster5,4,100,7333,0.025,0.707070707070707,-17.16034923,15.2967610044444,-0.397084313888889,0.188211705555556,-0.42900873075,0.154512737418631,-0.682070707070707
5,cluster5,5,107,7333,0.1,0.787878787878788,-13.0833791644444,20.8888018466667,-0.249945168888889,0.275764785555556,-0.327084479111111,0.210997998451178,-0.687878787878788
6,cluster5,6,121,7333,0.125,0.808080808080808,-14.5867394522222,24.2706011277778,-0.235184147777778,0.265664024444445,-0.364668486305555,0.24515758714927,-0.683080808080808
7,cluster5,7,123,7520,0.125,0.797979797979798,-10.6617165555555,18.7172175922222,-0.270638487222224,0.186426747777778,-0.266542913888889,0.189062803961841,-0.672979797979798
8,cluster5,8,131,7520,0.1,0.787878787878788,-9.99677168111111,15.7641031955556,-0.284312490555554,0.183896782222222,-0.249919292027778,0.159233365611672,-0.687878787878788
9,cluster5,9,189,1991,0.05,0.757575757575758,-26.9869522955556,30.4983505955555,-0.678867938333334,0.299181377777778,-0.674673807388889,0.308064147429854,-0.707575757575758
10,cluster5,10,197,12508,0.1,0.777777777777778,-15.1855796188889,22.4311816522222,-0.304515170555557,0.215717456666667,-0.379639490472223,0.226577592446689,-0.677777777777778
11,cluster5,11,258,6559,0.1,0.868686868686869,-9.29386689222222,20.9669176666667,-0.137472190555555,0.206521675555556,-0.232346672305555,0.211787047138047,-0.768686868686869
12,cluster5,12,258,7333,0.075,0.818181818181818,-15.3236095966667,25.1751429633333,-0.257300422222222,0.277756101111112,-0.383090239916666,0.254294373367003,-0.743181818181818
