,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,sum_dist_cluster,sum_dist_not_cluster,avg_dist_cluster,avg_dist_not_cluster,med_dist_cluster,med_dist_not_cluster,prop_diff
1,cluster1,1,122,842,0.780487804878049,0.0918367346938776,6.60954906444445,-74.00453159,0.19466188,-0.776380072222221,0.161208513766938,-0.755148281530612,0.688651070184171
2,cluster1,2,166,1787,0.878048780487805,0.204081632653061,10.2876033477778,-67.8933106777778,0.232656783333333,-0.544024119444445,0.250917154823848,-0.69278888446712,0.673967147834744
3,cluster1,3,193,842,0.902439024390244,0.214285714285714,16.5973962166667,-48.0550716011111,0.357912488888889,-0.416875904444442,0.404814541869919,-0.490357873480726,0.68815331010453
4,cluster1,4,211,842,0.926829268292683,0.23469387755102,17.9132995588889,-49.86059596,0.385521598888889,-0.485713508333335,0.436909745338753,-0.508781591428571,0.692135390741663
5,cluster1,5,292,842,0.878048780487805,0.193877551020408,17.7750150833333,-63.0919822677778,0.366765767777778,-0.622649968333334,0.433536953252032,-0.643795737426304,0.684171229467397
6,cluster1,6,301,11228,0.926829268292683,0.255102040816327,19.0212191933334,-23.9038590755555,0.414964351111116,-0.227728472222223,0.463932175447155,-0.243916929342403,0.671727227476356
7,cluster1,7,320,842,0.829268292682927,0.163265306122449,14.8821243455556,-59.7023596244444,0.374946781111111,-0.560247407222219,0.362978642574526,-0.609207751269841,0.666002986560478
8,cluster1,8,327,1512,0.829268292682927,0.163265306122449,18.4392458733333,-58.4115871155555,0.28471835,-0.606190526666667,0.449737704227642,-0.596036603219954,0.666002986560478
9,cluster1,9,344,842,0.878048780487805,0.204081632653061,14.6373958922222,-60.3945622333333,0.400322023333334,-0.635857840555556,0.357009655907859,-0.616271043197279,0.673967147834744
10,cluster1,10,348,842,0.780487804878049,0.0510204081632653,21.7721369377778,-80.9190558766667,0.212929734444445,-0.827121193333333,0.531027730189702,-0.825704651802721,0.729467396714784
11,cluster1,11,348,6935,0.780487804878049,0.112244897959184,22.4661363966667,-87.0477884311111,0.26848114,-0.814707689444445,0.547954546260162,-0.888242739092971,0.668242906918865
12,cluster1,12,366,11155,0.24390243902439,0.908163265306122,-7.82934026000001,30.2365630355556,-0.151610961111111,0.351896366111111,-0.190959518536586,0.308536357505669,-0.664260826281732
13,cluster1,13,414,842,0.853658536585366,0.163265306122449,12.5629834688889,-59.4065253522222,0.27987768,-0.55900500277778,0.306414230948509,-0.606189034206349,0.690393230462917
14,cluster1,14,445,1787,0.878048780487805,0.204081632653061,10.0919379833333,-74.4258534144444,0.190740954444444,-0.86552404611111,0.246144828861789,-0.759447483820862,0.673967147834744
15,cluster1,15,484,842,0.731707317073171,0.0714285714285714,2.90506437222222,-83.35516813,0.155005944444445,-0.829391154444444,0.0708552285907859,-0.850562940102041,0.660278745644599
16,cluster1,16,485,842,0.829268292682927,0.142857142857143,10.7322228544444,-68.6820428844444,0.320284787777778,-0.710967227222227,0.26176153303523,-0.700837172290249,0.686411149825784
