,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,sum_dist_cluster,sum_dist_not_cluster,avg_dist_cluster,avg_dist_not_cluster,med_dist_cluster,med_dist_not_cluster,prop_diff
1,cluster2,1,5,1174,0,0.660869565217391,-5.07377216333333,8.59197037666666,-0.166586236666666,0.084441327777778,-0.211407173472222,0.0747127858840579,-0.660869565217391
2,cluster2,2,5,2089,0.0833333333333333,0.765217391304348,-10.5685253688889,17.8365053322222,-0.304818164444444,0.146824345555556,-0.440355223703704,0.15510004636715,-0.681884057971014
3,cluster2,3,5,5854,0.0416666666666667,0.773913043478261,-4.01212184666667,19.6798155555555,-0.166605633333334,0.16532321,-0.167171743611111,0.171128830917874,-0.732246376811594
4,cluster2,4,5,6021,0.125,0.826086956521739,-5.22124467444444,29.21428574,-0.219590739444444,0.258642838888889,-0.217551861435185,0.254037267304348,-0.701086956521739
5,cluster2,5,5,6220,0.0416666666666667,0.704347826086957,-6.01550184380952,11.9532648147619,-0.222740681150794,0.098252657857143,-0.25064591015873,0.103941433171843,-0.66268115942029
6,cluster2,6,5,10803,0.0833333333333333,0.756521739130435,-4.11083161222222,16.8587370966667,-0.154837412222222,0.144259612222223,-0.171284650509259,0.146597713884058,-0.673188405797101
7,cluster2,7,5,11717,0.125,0.791304347826087,-3.08617917555556,18.1408190044444,-0.106578105555555,0.150477764444444,-0.128590798981481,0.15774625221256,-0.666304347826087
8,cluster2,8,10,10172,0.125,0.843478260869565,-3.55033752444444,36.5840336722222,-0.156097858888888,0.270233924444445,-0.147930730185185,0.318122031932367,-0.718478260869565
9,cluster2,9,11,1184,0.958333333333333,0.2,7.62104549666667,-24.2194455566667,0.246522753888889,-0.207033036666662,0.317543562361111,-0.210603874405797,0.758333333333333
10,cluster2,10,11,1259,0.916666666666667,0.217391304347826,8.45345118666666,-23.2813190466667,0.283654987777781,-0.19665859333333,0.352227132777777,-0.20244625257971,0.699275362318841
11,cluster2,11,11,7015,0.916666666666667,0.147826086956522,7.18912333555555,-40.1377578877778,0.19685110111111,-0.318486205555554,0.299546805648148,-0.349023981632851,0.768840579710145
12,cluster2,12,19,6945,0.791666666666667,0.121739130434783,1.60143365,-18.2674649477778,0.0730255238888888,-0.120160627777778,0.0667264020833334,-0.158847521285024,0.669927536231884
13,cluster2,13,40,7560,0.0833333333333333,0.773913043478261,-1.84932087777778,13.3118467433333,-0.0842417944444445,0.141434812222222,-0.077055036574074,0.115755189072464,-0.690579710144927
14,cluster2,14,49,6859,0.833333333333333,0.156521739130435,1.57588418111111,-16.7348813033333,0.0817043911111109,-0.11845774,0.0656618408796298,-0.145520706985507,0.676811594202899
15,cluster2,15,65,6777,0.875,0.2,2.35583051277778,-25.7363823061905,0.1071619775,-0.170916308809524,0.098159604699074,-0.223794628749482,0.675
16,cluster2,16,65,9368,1,0.31304347826087,4.74007285055555,-16.8172797384127,0.194097027261905,-0.150992315793651,0.197503035439815,-0.146237215116632,0.68695652173913
17,cluster2,17,69,6330,0.958333333333333,0.28695652173913,4.39895671087302,-18.6752882684127,0.192317964761905,-0.150822617301587,0.183289862953042,-0.162393811029676,0.671376811594203
18,cluster2,18,76,9813,0.875,0.165217391304348,1.42105401,-17.2991403922222,0.0686326983333335,-0.136828078888888,0.0592105837500001,-0.150427307758454,0.709782608695652
19,cluster2,19,82,6788,0.166666666666667,0.895652173913044,-3.28306471777778,30.4183915811111,-0.171231375555556,0.276692521111111,-0.136794363240741,0.264507752879227,-0.728985507246377
20,cluster2,20,107,9368,1,0.339130434782609,5.20166854,-12.1973911844445,0.181715472777778,-0.067258345555555,0.216736189166667,-0.106064271169082,0.660869565217391
21,cluster2,21,127,8037,0.916666666666667,0.243478260869565,2.00888363888889,-17.3441325433333,0.0693006861111109,-0.0836669411111108,0.0837034849537038,-0.150818543855072,0.673188405797101
