,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,sum_dist_cluster,sum_dist_not_cluster,avg_dist_cluster,avg_dist_not_cluster,med_dist_cluster,med_dist_not_cluster,prop_diff
1,cluster4,1,24,6189,0.15,0.890756302521008,-5.60551403444445,12.0876804533333,-0.12065298,0.112867183333333,-0.280275701722222,0.101577146666667,-0.740756302521008
2,cluster4,2,65,8167,0.95,0.260504201680672,2.98523312873016,-26.272504723254,0.140170775119048,-0.178732927380953,0.149261656436508,-0.22077735061558,0.689495798319328
3,cluster4,3,68,10860,0.05,0.722689075630252,-9.59129036222222,21.3575395122222,-0.38197359,0.185398062222223,-0.479564518111111,0.179475121951447,-0.672689075630252
4,cluster4,4,76,2510,0.05,0.739495798319328,-6.93214503222223,8.63843335777778,-0.277465722777778,0.0874114344444444,-0.346607251611111,0.0725918769561158,-0.689495798319328
5,cluster4,5,76,11057,0.15,0.815126050420168,-3.80387325222222,13.0407051844444,-0.0865594272222225,0.12391662,-0.190193662611111,0.109585757852474,-0.665126050420168
6,cluster4,6,107,8167,1,0.302521008403361,5.17648340666666,-23.3822707577778,0.235211128888889,-0.148443596666667,0.258824170333333,-0.196489670233427,0.697478991596639
7,cluster4,7,123,2210,0.15,0.823529411764706,-3.47867673666668,36.5970749433333,-0.182409008333336,0.272044342222222,-0.173933836833334,0.307538444901961,-0.673529411764706
8,cluster4,8,142,7743,0.15,0.823529411764706,-9.22216002333333,44.2134770277778,-0.428674865000002,0.288029244444444,-0.461108001166667,0.371541823762838,-0.673529411764706
9,cluster4,9,174,12121,0.05,0.714285714285714,-9.35900024444445,21.5730862677778,-0.509763884444445,0.131322084444445,-0.467950012222223,0.181286439225023,-0.664285714285714
10,cluster4,10,185,10307,0.25,0.966386554621849,-1.00100058888889,37.0776128833333,-0.0475774477777775,0.297441711111111,-0.0500500294444444,0.311576578851541,-0.716386554621849
11,cluster4,11,190,5458,0.25,0.915966386554622,-1.97925704416667,38.6803565590278,-0.107952948819445,0.354284746666667,-0.0989628522083333,0.325045013101074,-0.665966386554622
12,cluster4,12,190,9298,0.15,0.848739495798319,-5.6385632775,22.93054015125,-0.222209828055556,0.212483061388889,-0.281928163875,0.192693614716387,-0.698739495798319
13,cluster4,13,190,10727,0.05,0.781512605042017,-8.82769069305555,20.7076381223611,-0.345760003125,0.207823541527778,-0.441384534652777,0.174013765734127,-0.731512605042017
14,cluster4,14,196,5874,0.05,0.773109243697479,-7.10162714222222,36.4051036177778,-0.330918468888888,0.261917626666666,-0.355081357111111,0.305925240485528,-0.723109243697479
15,cluster4,15,217,10307,0.1,0.764705882352941,-5.23090684111111,18.98701877,-0.275239552777777,0.181056841111112,-0.261545342055555,0.159554779579832,-0.664705882352941
16,cluster4,16,217,10860,0.1,0.823529411764706,-6.08775475,30.9274281233333,-0.309626184444445,0.27916665,-0.3043877375,0.259894353977591,-0.723529411764706
17,cluster4,17,219,681,0.8,0.117647058823529,3.54646183222222,-41.8287941977778,0.15439952222222,-0.28923635,0.177323091611111,-0.351502472250233,0.682352941176471
18,cluster4,18,219,2272,0.9,0.218487394957983,5.06360989111111,-34.11643721,0.257118836111111,-0.229888958888889,0.253180494555555,-0.286692749663866,0.681512605042017
19,cluster4,19,232,11932,0.15,0.857142857142857,-3.38277893666666,24.0735283288889,-0.189377832777777,0.169424553333334,-0.169138946833333,0.202298557385621,-0.707142857142857
20,cluster4,20,237,10860,0,0.722689075630252,-7.14217718666667,22.0598959877778,-0.360819997222222,0.178108475555556,-0.357108859333333,0.185377277208217,-0.722689075630252
21,cluster4,21,238,12121,0.1,0.773109243697479,-6.47577464666667,29.5768590966667,-0.299954702222222,0.295457958888889,-0.323788732333334,0.24854503442577,-0.673109243697479
22,cluster4,22,245,11174,0.15,0.857142857142857,-6.8744772966667,48.8629652788888,-0.38704474555556,0.387365592222222,-0.343723864833335,0.410613153604108,-0.707142857142857
23,cluster4,23,264,2510,0.25,0.92436974789916,-3.14524658888889,35.7264362233333,-0.0687655094444445,0.280830817777778,-0.157262329444445,0.300222153137255,-0.67436974789916
