,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,dist_ij_cluster,dist_ij_not_cluster,prop_diff
1,cluster4,1,5,140,0.230769230769231,0.922680412371134,-1.18185760888889,55.8405001733333,-0.691911181601903
2,cluster4,2,5,266,0.115384615384615,0.778350515463918,-4.78192109555556,30.2317156788889,-0.662965900079302
3,cluster4,3,5,567,0.115384615384615,0.819587628865979,-3.11532589666666,29.35266949,-0.704203013481364
4,cluster4,4,5,951,0.0769230769230769,0.742268041237113,-4.07753066777778,28.6024048088889,-0.665344964314037
5,cluster4,5,5,1038,0,0.685567010309278,-6.01446610222222,19.2197584177778,-0.685567010309278
6,cluster4,6,5,1461,0.115384615384615,0.819587628865979,-3.11183713777778,32.8856972388889,-0.704203013481364
7,cluster4,7,5,2026,0.0769230769230769,0.757731958762887,-5.76629348444444,28.9979086644444,-0.68080888183981
8,cluster4,8,5,3041,0.0769230769230769,0.77319587628866,-4.96366383444445,40.5486010688889,-0.696272799365583
9,cluster4,9,5,3136,0.0769230769230769,0.757731958762887,-4.87950044111111,25.3401359511111,-0.68080888183981
10,cluster4,10,5,3523,0.0769230769230769,0.783505154639175,-4.39388000777778,27.6689816044444,-0.706582077716098
11,cluster4,11,5,3879,0.0769230769230769,0.804123711340206,-6.38808800976191,35.7165350895238,-0.727200634417129
12,cluster4,12,5,4007,0.0769230769230769,0.762886597938144,-3.59847203222223,33.2034356766667,-0.685963521015067
13,cluster4,13,5,4027,0.192307692307692,0.860824742268041,-2.58331701777778,46.4806629977778,-0.668517049960349
14,cluster4,14,5,4197,0.0769230769230769,0.798969072164949,-4.98872051,28.5585353022222,-0.722045995241872
15,cluster4,15,5,5382,0.0384615384615385,0.814432989690722,-4.01751871222222,37.9133827311111,-0.775971451229183
16,cluster4,16,5,5621,0.115384615384615,0.804123711340206,-6.32210230222222,44.1178876777778,-0.688739095955591
17,cluster4,17,5,5854,0.0769230769230769,0.788659793814433,-5.16009390222222,32.5142045777778,-0.711736716891356
18,cluster4,18,5,5900,0.153846153846154,0.835051546391753,-3.09115152666667,39.5367853433333,-0.681205392545599
19,cluster4,19,5,6021,0.0769230769230769,0.793814432989691,-6.03623374333333,37.6784148244444,-0.716891356066614
20,cluster4,20,5,6408,0.0769230769230769,0.762886597938144,-4.85859871555556,27.8372647533333,-0.685963521015067
21,cluster4,21,5,6990,0.115384615384615,0.835051546391753,-5.28120880333333,42.9798973895238,-0.719666931007137
22,cluster4,22,5,8004,0.115384615384615,0.798969072164949,-5.38228707190476,30.4499348702381,-0.683584456780333
23,cluster4,23,5,8998,0.0384615384615385,0.762886597938144,-4.47612459444445,28.3112787711111,-0.724425059476606
24,cluster4,24,5,9961,0.115384615384615,0.783505154639175,-4.12395902666667,36.1986158888889,-0.66812053925456
25,cluster4,25,5,10115,0.0384615384615385,0.731958762886598,-7.45959474666667,28.2608270566667,-0.693497224425059
26,cluster4,26,5,10379,0.192307692307692,0.876288659793814,-1.25987580190476,49.4276717145238,-0.683980967486122
27,cluster4,27,5,10444,0.153846153846154,0.850515463917526,-3.16747044444445,45.1110927866667,-0.696669310071372
28,cluster4,28,5,10469,0.0384615384615385,0.706185567010309,-5.28755142666667,26.4306679222222,-0.667724028548771
29,cluster4,29,5,10852,0.115384615384615,0.814432989690722,-4.67949739,36.2415477566667,-0.699048374306106
30,cluster4,30,5,10988,0.230769230769231,0.891752577319588,-1.74881566444445,51.5002876388889,-0.660983346550357
31,cluster4,31,5,11315,0.0769230769230769,0.77319587628866,-4.04724773777778,30.65839224,-0.696272799365583
32,cluster4,32,5,11510,0.153846153846154,0.829896907216495,-2.96633617222223,47.2564235288889,-0.676050753370341
33,cluster4,33,5,11548,0.0769230769230769,0.762886597938144,-8.10221864666667,35.0638831366667,-0.685963521015067
34,cluster4,34,5,11801,0.115384615384615,0.783505154639175,-3.92031671333334,29.8744165544444,-0.66812053925456
35,cluster4,35,5,12033,0.115384615384615,0.804123711340206,-6.16098921047619,39.1000795116667,-0.688739095955591
36,cluster4,36,5,12084,0.0769230769230769,0.778350515463918,-4.34030128888889,28.6265167844444,-0.701427438540841
37,cluster4,37,10,4876,0.0769230769230769,0.804123711340206,-5.29438844777777,57.9877675644444,-0.727200634417129
38,cluster4,38,10,9606,0.192307692307692,0.855670103092783,-3.80276313333334,49.5628747888889,-0.663362410785091
39,cluster4,39,10,10211,0.153846153846154,0.835051546391753,-4.36532703277779,46.1262904313492,-0.681205392545599
40,cluster4,40,11,4429,0.923076923076923,0.231958762886598,9.98238658222221,-41.6007753300001,0.691118160190325
