,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,dist_ij_cluster,dist_ij_not_cluster,prop_diff
1,cluster4,1,12,8831,0.15,0.865546218487395,-2.63275891261905,19.4941423253175,-0.715546218487395
2,cluster4,2,18,5731,0.05,0.781512605042017,-9.16748845079366,31.0925606485714,-0.731512605042017
3,cluster4,3,69,3897,0.15,0.831932773109244,-4.11918755666667,42.7333566277778,-0.681932773109244
4,cluster4,4,70,3897,0.1,0.848739495798319,-5.90474428222223,49.1257305288889,-0.748739495798319
5,cluster4,5,124,13120,0.2,0.865546218487395,-4.78055630555557,57.3446425077778,-0.665546218487395
6,cluster4,6,127,3925,0.05,0.756302521008403,-4.76706584888889,52.6839485022222,-0.706302521008403
7,cluster4,7,138,1005,0.9,0.218487394957983,4.15525847444445,-48.3527479088889,0.681512605042017
8,cluster4,8,138,5632,0.95,0.252100840336134,8.08585660000002,-33.7406499822222,0.697899159663866
9,cluster4,9,195,10876,0.95,0.243697478991597,21.07745341,-107.288314354444,0.706302521008403
10,cluster4,10,222,13749,0.1,0.781512605042017,-5.52089398222223,24.4888171533333,-0.681512605042017
11,cluster4,11,230,12285,0.15,0.815126050420168,-4.19053775888889,26.89251256,-0.665126050420168
12,cluster4,12,237,2584,0.1,0.764705882352941,-11.24903673,78.8615435388889,-0.664705882352941
13,cluster4,13,272,2920,0.05,0.722689075630252,-7.46846140555558,31.0403230044444,-0.672689075630252
14,cluster4,14,272,3657,0.1,0.773109243697479,-7.47291156111113,55.3555899599999,-0.673109243697479
15,cluster4,15,304,1582,0.15,0.840336134453782,-7.56068651222221,82.3787410322222,-0.690336134453782
16,cluster4,16,328,1582,0.1,0.764705882352941,-11.3072398233333,65.4827396122222,-0.664705882352941
17,cluster4,17,339,13120,0.1,0.840336134453782,-5.5288792677778,47.6659465788889,-0.740336134453782
18,cluster4,18,393,7048,0.05,0.739495798319328,-15.2834820155555,87.6450388388888,-0.689495798319328
19,cluster4,19,403,3925,0.1,0.798319327731092,-3.57118260555556,36.0901819188889,-0.698319327731093
20,cluster4,20,403,4131,0.1,0.764705882352941,-6.06606362777778,28.6791078444444,-0.664705882352941
21,cluster4,21,431,10876,1,0.252100840336134,27.04552918,-133.000951835556,0.747899159663866
22,cluster4,22,438,2591,0.1,0.815126050420168,-11.8142126444444,49.9088134011111,-0.715126050420168
23,cluster4,23,485,7048,0.05,0.73109243697479,-13.78987159,90.3695888611111,-0.68109243697479
24,cluster4,24,497,8006,0.9,0.226890756302521,4.60846356777778,-34.2785518444444,0.673109243697479
25,cluster4,25,506,1582,0.1,0.773109243697479,-14.0544061777778,57.6862173811111,-0.673109243697479
26,cluster4,26,517,1582,0.15,0.831932773109244,-7.39313733999997,111.765119361111,-0.681932773109244
27,cluster4,27,527,10320,0.15,0.823529411764706,-6.05108326000003,53.1422728655556,-0.673529411764706
28,cluster4,28,528,4131,0.05,0.773109243697479,-5.63830860666667,14.2094779777778,-0.723109243697479
29,cluster4,29,534,13749,0,0.663865546218487,-8.93653363333333,19.7072242855555,-0.663865546218487
30,cluster4,30,553,3925,0.05,0.739495798319328,-4.74441843777778,21.1455156855556,-0.689495798319328
31,cluster4,31,553,5731,0.2,0.873949579831933,-8.34973768222223,26.0271478822222,-0.673949579831933
32,cluster4,32,553,9063,0.2,0.873949579831933,-2.33553104,18.2234338,-0.673949579831933
33,cluster4,33,580,1265,0.85,0.168067226890756,4.67512825333332,-55.82291217,0.681932773109244
34,cluster4,34,580,8094,1,0.327731092436975,3.80453092222221,-8.38088615666668,0.672268907563025
35,cluster4,35,581,4627,0.25,0.915966386554622,-3.93910374777779,111.808173635556,-0.665966386554622
36,cluster4,36,620,2584,0.15,0.823529411764706,-8.44257352555556,104.824504525556,-0.673529411764706
37,cluster4,37,629,8933,0.1,0.781512605042017,-7.28565191000001,31.4721843688889,-0.681512605042017
38,cluster4,38,633,2038,0.8,0.134453781512605,1.92924737111111,-45.4197772855556,0.665546218487395
39,cluster4,39,637,10876,1,0.294117647058824,17.8733121766667,-121.116765954444,0.705882352941176
40,cluster4,40,644,12285,0.1,0.781512605042017,-4.35161652777778,20.3386493044444,-0.681512605042017
41,cluster4,41,652,3897,0.05,0.773109243697479,-7.10162714222222,36.4051036177778,-0.723109243697479
42,cluster4,42,705,4131,0.1,0.840336134453782,-6.48103872444445,23.1119360366667,-0.740336134453782
43,cluster4,43,705,6101,0.2,0.890756302521008,-3.35276694444444,27.5142078633333,-0.690756302521008
44,cluster4,44,734,1582,0.1,0.789915966386555,-11.7598710433333,84.3283606277778,-0.689915966386555
45,cluster4,45,801,6557,1,0.310924369747899,6.86772877000001,-22.6315185722221,0.689075630252101
46,cluster4,46,801,9014,0.85,0.176470588235294,8.27830392555555,-85.0956836566666,0.673529411764706
47,cluster4,47,829,8821,0.2,0.865546218487395,-4.25265428999999,63.3223137666666,-0.665546218487395
48,cluster4,48,865,13101,0.2,0.882352941176471,-7.36512253666667,36.9011094311111,-0.682352941176471
49,cluster4,49,889,8933,0.2,0.873949579831933,-3.72608407444446,67.1093651333333,-0.673949579831933
50,cluster4,50,891,2591,0.05,0.714285714285714,-12.9443418511111,38.5202874288889,-0.664285714285714
51,cluster4,51,897,8933,0.15,0.831932773109244,-6.44218587222223,39.9564163522222,-0.681932773109244
52,cluster4,52,899,2448,0,0.672268907563025,-13.5559902955555,61.0106723355555,-0.672268907563025
53,cluster4,53,899,4365,0.15,0.831932773109244,-7.69770177666669,114.849799864444,-0.681932773109244
54,cluster4,54,940,4131,0.1,0.823529411764706,-5.12465481,24.3291549166667,-0.723529411764706
55,cluster4,55,947,2998,0.1,0.781512605042017,-6.26388223444445,64.5442132922222,-0.681512605042017
56,cluster4,56,974,1582,0.15,0.823529411764706,-11.2863953133333,89.8253849377777,-0.673529411764706
