,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,dist_ij_cluster,dist_ij_not_cluster,prop_diff
1,cluster5,1,67,10876,0.1,0.787878787878788,-58.4588641755556,80.8928380855556,-0.687878787878788
2,cluster5,2,139,1755,0.775,0.111111111111111,12.5313832511111,-47.9707018033333,0.663888888888889
3,cluster5,3,139,2770,0.775,0.0808080808080808,13.5853910811111,-65.4642957888889,0.694191919191919
4,cluster5,4,139,6507,0.8,0.131313131313131,17.63610532,-60.6770043977777,0.668686868686869
5,cluster5,5,139,9967,0.875,0.212121212121212,14.9572233133333,-31.1762560266667,0.662878787878788
6,cluster5,6,318,10876,0.175,0.868686868686869,-32.1657590388889,111.518231147778,-0.693686868686869
7,cluster5,7,397,10876,0.15,0.838383838383838,-43.0072495683333,118.82236028127,-0.688383838383838
8,cluster5,8,426,766,0.1,0.818181818181818,-22.1577592888889,41.0376257477777,-0.718181818181818
9,cluster5,9,499,2260,0.925,0.222222222222222,22.5234040311111,-29.3748601677778,0.702777777777778
10,cluster5,10,656,7158,0.125,0.808080808080808,-43.4494687088889,46.9770001011111,-0.683080808080808
11,cluster5,11,740,1320,0.85,0.151515151515152,25.5820998166667,-65.74094555,0.698484848484848
12,cluster5,12,740,11402,0.95,0.262626262626263,33.5705614322222,-37.84783142,0.687373737373737
13,cluster5,13,764,12377,0.125,0.787878787878788,-14.3940544466667,24.3422851366667,-0.662878787878788
14,cluster5,14,766,2835,0.85,0.181818181818182,18.3473267088889,-52.6147562377777,0.668181818181818
15,cluster5,15,1188,2977,0.05,0.717171717171717,-20.0415438311111,31.3596559855556,-0.667171717171717
16,cluster5,16,1230,2977,0.175,0.848484848484849,-11.3828327544445,45.0783154622222,-0.673484848484849
17,cluster5,17,1336,12377,0.15,0.828282828282828,-12.9635661522222,20.0295886088889,-0.678282828282828
18,cluster5,18,1355,9223,0.925,0.262626262626263,58.239340159127,-4.88140172269842,0.662373737373737
19,cluster5,19,1365,7158,0.1,0.818181818181818,-48.8998170011111,34.6153402333333,-0.718181818181818
20,cluster5,20,1393,12377,0.05,0.727272727272727,-16.5136971622222,10.0876870222222,-0.677272727272727
21,cluster5,21,1523,12377,0.1,0.818181818181818,-17.0794922611111,22.9025246166667,-0.718181818181818
22,cluster5,22,1553,5610,0.825,0.121212121212121,3.52812991777778,-11.0608168655556,0.703787878787879
23,cluster5,23,1572,10877,0.125,0.797979797979798,-9.04384868111111,19.1784558788889,-0.672979797979798
24,cluster5,24,1580,12377,0.05,0.757575757575758,-12.6011913955555,15.8033802322222,-0.707575757575758
25,cluster5,25,1586,12377,0.125,0.797979797979798,-17.6416033811111,17.7515534666667,-0.672979797979798
26,cluster5,26,1627,3689,0.15,0.838383838383838,-15.7956218222222,37.4638145255556,-0.688383838383838
27,cluster5,27,1643,13969,0.875,0.171717171717172,15.0669406884921,-32.0749996326191,0.703282828282828
28,cluster5,28,1650,4504,0.1,0.828282828282828,-8.85248010444444,26.4846892288889,-0.728282828282828
29,cluster5,29,1650,12377,0.1,0.797979797979798,-14.8822228088889,30.6929145255556,-0.697979797979798
30,cluster5,30,1660,12377,0.175,0.858585858585859,-13.6199228111111,27.5726689088889,-0.683585858585859
31,cluster5,31,1688,7158,0.125,0.787878787878788,-44.4249050477778,39.6435894222222,-0.662878787878788
32,cluster5,32,1706,10420,0.2,0.868686868686869,-5.75586961,20.7776046,-0.668686868686869
33,cluster5,33,1713,10876,0.025,0.727272727272727,-71.4431346688889,55.1883421066667,-0.702272727272727
34,cluster5,34,1714,2952,0.075,0.777777777777778,-16.9452211422222,24.4912731911111,-0.702777777777778
35,cluster5,35,1812,2957,0.15,0.838383838383838,-17.2641474988889,25.7496228044444,-0.688383838383838
36,cluster5,36,1816,12377,0.1,0.777777777777778,-9.38126245999999,25.8946566266667,-0.677777777777778
37,cluster5,37,1817,11886,0.825,0.161616161616162,8.71442643706349,-17.0284228498413,0.663383838383838
38,cluster5,38,1819,10877,0.25,0.919191919191919,-7.65566371888887,27.3010747622222,-0.669191919191919
39,cluster5,39,1841,7158,0.075,0.747474747474748,-52.6010680322222,28.37548405,-0.672474747474748
40,cluster5,40,1853,2038,0.1,0.797979797979798,-12.9365942688889,16.7389896844444,-0.697979797979798
41,cluster5,41,1969,8642,0.875,0.212121212121212,10.6547718722222,-14.2185709911111,0.662878787878788
42,cluster5,42,1982,12377,0.175,0.848484848484849,-13.5667034044444,24.7284941688889,-0.673484848484849
43,cluster5,43,1982,12943,0.125,0.787878787878788,-7.93925491000001,18.2029468122222,-0.662878787878788
44,cluster5,44,2011,12377,0.125,0.797979797979798,-15.3350246555555,15.4256213366667,-0.672979797979798
45,cluster5,45,2032,2977,0.175,0.888888888888889,-10.1072516833333,66.6388463688889,-0.713888888888889
46,cluster5,46,2032,7158,0.2,0.868686868686869,-46.9159324066667,57.6001595311111,-0.668686868686869
47,cluster5,47,2038,8331,0.825,0.151515151515152,10.1554179455556,-21.1801334988889,0.673484848484848
48,cluster5,48,2038,14075,0.9,0.232323232323232,11.9750199366667,-13.5132060633333,0.667676767676768
49,cluster5,49,2055,3440,0.975,0.292929292929293,23.1805139277778,-11.4976209477778,0.682070707070707
50,cluster5,50,2055,8662,0.825,0.161616161616162,17.3782844555556,-37.04464328,0.663383838383838
51,cluster5,51,2055,9223,0.95,0.282828282828283,29.4771768746825,-28.1273826338095,0.667171717171717
52,cluster5,52,2134,12377,0.1,0.777777777777778,-13.2420703733333,26.3986257444444,-0.677777777777778
53,cluster5,53,2152,10877,0.05,0.717171717171717,-14.9818685519047,16.5681738510317,-0.667171717171717
54,cluster5,54,2175,12377,0.175,0.848484848484849,-15.43729528,22.3905481611111,-0.673484848484849
55,cluster5,55,2211,2952,0.2,0.909090909090909,-8.29047983555559,54.1948200533334,-0.709090909090909
56,cluster5,56,2252,7158,0.125,0.808080808080808,-44.96555026,29.5204804811111,-0.683080808080808
57,cluster5,57,2262,13419,0.2,0.868686868686869,-17.7420039188889,48.6823390722222,-0.668686868686869
58,cluster5,58,2275,2952,0.1,0.828282828282828,-12.3921668677778,30.6515859211111,-0.728282828282828
59,cluster5,59,2278,12377,0.125,0.787878787878788,-13.8829336855555,22.6886221144444,-0.662878787878788
60,cluster5,60,2317,12330,0.1,0.767676767676768,-8.91196426777778,11.0080397077778,-0.667676767676768
61,cluster5,61,2317,12377,0.05,0.727272727272727,-18.8793490111111,13.3313402933333,-0.677272727272727
62,cluster5,62,2319,2952,0.05,0.747474747474748,-21.3254028077778,22.2612855888889,-0.697474747474747
63,cluster5,63,2321,10877,0.1,0.767676767676768,-12.8404075366667,14.8900628288889,-0.667676767676768
64,cluster5,64,2380,12377,0.1,0.767676767676768,-14.6411408833333,17.3727084122222,-0.667676767676768
65,cluster5,65,2418,12377,0.1,0.767676767676768,-15.4991898433333,21.7808679555556,-0.667676767676768
66,cluster5,66,2424,2952,0.075,0.767676767676768,-19.9674064488889,23.3081304655556,-0.692676767676768
67,cluster5,67,2427,9223,0.875,0.181818181818182,13.1046225213492,-40.7764295715873,0.693181818181818
68,cluster5,68,2474,13980,0.15,0.838383838383838,-5.47014135555554,18.98842294,-0.688383838383838
69,cluster5,69,2577,3233,0.025,0.737373737373737,-10.6717474722222,18.0630064888889,-0.712373737373737
70,cluster5,70,2577,10420,0.2,0.888888888888889,-4.57987295888889,27.9645158733333,-0.688888888888889
71,cluster5,71,2577,12377,0.125,0.818181818181818,-18.22347289,32.8266075811111,-0.693181818181818
72,cluster5,72,2604,12377,0.175,0.838383838383838,-16.1484993877778,33.0923473366667,-0.663383838383838
73,cluster5,73,2687,12377,0.1,0.818181818181818,-15.2931863955555,19.9263527033333,-0.718181818181818
74,cluster5,74,2781,3929,0.125,0.797979797979798,-31.2310527477778,14.6089585377778,-0.672979797979798
75,cluster5,75,2784,12377,0.1,0.808080808080808,-17.1712611222222,25.9763731511111,-0.708080808080808
76,cluster5,76,2793,12377,0.125,0.797979797979798,-13.8624166390476,26.4666950946825,-0.672979797979798
77,cluster5,77,2804,2952,0.225,0.888888888888889,-10.2091853688889,44.4871671833334,-0.663888888888889
78,cluster5,78,2812,12377,0.1,0.767676767676768,-15.90562876,15.6101313077778,-0.667676767676768
79,cluster5,79,2848,12377,0.125,0.808080808080808,-14.0999141644444,23.8061512433333,-0.683080808080808
80,cluster5,80,2951,12377,0.05,0.717171717171717,-19.5450982522222,13.23811505,-0.667171717171717
81,cluster5,81,2952,3131,1,0.323232323232323,25.16382795,-19.7216989911111,0.676767676767677
82,cluster5,82,2952,3863,0.95,0.242424242424242,16.9229135561111,-22.1400747146032,0.707575757575758
83,cluster5,83,2952,4103,0.8,0.131313131313131,9.75960913801589,-49.0415603461111,0.668686868686869
84,cluster5,84,2952,6989,0.85,0.181818181818182,12.1415974011111,-25.2279965,0.668181818181818
85,cluster5,85,2952,7133,0.9,0.222222222222222,13.1519646655556,-27.90452439,0.677777777777778
86,cluster5,86,2952,7442,0.85,0.161616161616162,11.0840939755556,-35.3990353488889,0.688383838383838
87,cluster5,87,2952,7551,0.875,0.181818181818182,18.7480882711111,-40.5833930888889,0.693181818181818
88,cluster5,88,2952,8399,0.85,0.151515151515152,9.97344908222224,-34.3911244522222,0.698484848484848
89,cluster5,89,2952,8457,0.825,0.151515151515152,12.05074454,-34.0582717544445,0.673484848484848
90,cluster5,90,2952,8520,0.9,0.232323232323232,13.5038240711111,-20.7363321155556,0.667676767676768
91,cluster5,91,2952,8642,0.95,0.282828282828283,21.2963302666667,-14.1731740477778,0.667171717171717
92,cluster5,92,2952,8718,0.9,0.232323232323232,15.6560711522222,-21.0547182366667,0.667676767676768
93,cluster5,93,2952,10953,0.825,0.141414141414141,12.7183793877778,-37.4730312822222,0.683585858585859
94,cluster5,94,2952,11629,0.825,0.141414141414141,12.6016219533334,-41.0926189577778,0.683585858585859
95,cluster5,95,2952,11820,0.875,0.181818181818182,14.2784360244445,-26.2026124377778,0.693181818181818
